"sites","Bloc","Coupe","Exclos","Analogue","Diam_bas","Diam_api","Longueur","Classe"
"CCTAEA1","C","totale","avec",1,"14,3","15","199",3
"CCTAEA1","C","totale","avec",1,"14,4","7","174",3
"CCTAEA1","C","totale","avec",1,"10,5","7,1","252",4
"CCTAEA1","C","totale","avec",1,"10,8","6,3","151",3
"CCTAEA1","C","totale","avec",1,"9,1","6,8","124",3
"CCTAEA1","C","totale","avec",1,"10,5","9,1","238",2
"CCTAEA1","C","totale","avec",1,"13,9","9,4","192",3
"CCTAEA2","C","totale","avec",2,"9,7","8,7","123",3
"CCTAEA2","C","totale","avec",2,"10,7","8,9","188",2
"CCTAEA2","C","totale","avec",2,"13,1","12,2","108",3
"CCTAEA2","C","totale","avec",2,"9,1","6,7","182",3
"CCTAEA2","C","totale","avec",2,"9,1","2,9","127",3
"CT3","C","temoin","temoin",3,"13,2","3,8","1245",3
"CT3","C","temoin","temoin",3,"13,1","3,2","1245",3
"CT3","C","temoin","temoin",3,"20,7","6,4","1245",3
"CT3","C","temoin","temoin",3,"11,7","0,5","871",3
"CT3","C","temoin","temoin",3,"11","8,2","172",3
"CT3","C","temoin","temoin",3,"20,7","4,2","1523",3
"CT3","C","temoin","temoin",3,"25,8","4,3","1523",3
"CT3","C","temoin","temoin",3,"13,7","4,2","1523",3
"CT3","C","temoin","temoin",3,"12,3","3,7","565",2
"CT3","C","temoin","temoin",3,"20","10,3","385",3
"CT3","C","temoin","temoin",3,"11,6","6,9","250",4
"CT3","C","temoin","temoin",3,"26,8","15,6","380",2
"CT3","C","temoin","temoin",3,"16,2","0,6","135",3
"CCTSEA1","C","totale","sans",1,"11","9,3","175",2
"CCTSEA1","C","totale","sans",1,"13,9","9,4","141",3
"CCTSEA1","C","totale","sans",1,"20,8","18,3","118",2
"CCTSEA1","C","totale","sans",1,"10","5,4","222",3
"CCTSEA1","C","totale","sans",1,"14,6","5","185",3
"CCTSEA1","C","totale","sans",1,"12","4","175",3
"CCTSEA1","C","totale","sans",1,"20,9","15,8","172",2
"CCTSEA2","C","totale","sans",2,"11,3","8,4","276",4
"CCTSEA2","C","totale","sans",2,"18,4","1,6","183",2
"CCTSEA2","C","totale","sans",2,"11,7","4,6","105",3
"CCTSEA2","C","totale","sans",2,"19,9","18,6","110",3
"CCTSEA2","C","totale","sans",2,"9,5","5,8","680",3
"CCTSEA2","C","totale","sans",2,"9,9","7,1","255",3
"CCTSEA2","C","totale","sans",2,"13","8,1","437",2
"CCTSEA2","C","totale","sans",2,"10,7","11,7","105",4
"CCTSEA2","C","totale","sans",2,"9,8","8,1","280",3
"CCTSEA2","C","totale","sans",2,"9,4","8,2","137",3
"CCTSEA2","C","totale","sans",2,"9,3","6,3","118",3
"CCTSEA2","C","totale","sans",2,"28,3","25,7","189",3
"CCTSEA3","C","totale","sans",3,"10,5","10,3","131",4
"CCTSEA3","C","totale","sans",3,"10,5","10,1","219",3
"CCTSEA3","C","totale","sans",3,"9,2","6,2","369",2
"CCTSEA3","C","totale","sans",3,"9,5","7,3","153",3
"CCTSEA3","C","totale","sans",3,"13,8","9,5","212",3
"CCTSEA3","C","totale","sans",3,"10,9","1,4","184",2
"CCTSEA3","C","totale","sans",3,"12,2","11","128",4
"CCTSEA3","C","totale","sans",3,"13","1,9","142",2
"DCTAEA1","D","totale","avec",1,"18,1","16,5","147",3
"DCTAEA1","D","totale","avec",1,"20,9","18,3","132",3
"DCTAEA1","D","totale","avec",1,"26,5","10,3","139",3
"DCTAEA1","D","totale","avec",1,"15,4","9,9","149",4
