"site","ID","day","month","ext","order","family","Bloc","Coupe","Exclos","Analogue","ord.fam"
"ACTSEA1","col390",11,"juillet",6,"Poduromorpha","Hypogastruridae","A","totale","sans","1","Poduromorpha Hypogastruridae"
"ACTSEA1","col066",20,"mai",3,"Entomobryomorpha","Isotomidae","A","totale","sans","1","Entomobryomorpha Isotomidae"
"ACTSEA1","col060",20,"mai",3,"Entomobryomorpha","Entomobryidae","A","totale","sans","1","Entomobryomorpha Entomobryidae"
"ACTSEA1","col391",11,"juillet",6,"Entomobryomorpha","Entomobryidae","A","totale","sans","1","Entomobryomorpha Entomobryidae"
"ACTSEA1","col067",20,"mai",3,"Poduromorpha","Hypogastruridae","A","totale","sans","1","Poduromorpha Hypogastruridae"
"ACTSEA1","col061",20,"mai",3,"Entomobryomorpha","Isotomidae","A","totale","sans","1","Entomobryomorpha Isotomidae"
"ACTSEA1","col064",20,"mai",3,"Poduromorpha","Hypogastruridae","A","totale","sans","1","Poduromorpha Hypogastruridae"
"ACTSEA1","col396",11,"juillet",6,"Poduromorpha","Hypogastruridae","A","totale","sans","1","Poduromorpha Hypogastruridae"
"ACTSEA1","col393",11,"juillet",6,"Poduromorpha","Tullbergidae","A","totale","sans","1","Poduromorpha Tullbergidae"
"ACTSEA1","col065",20,"mai",3,"Poduromorpha","Hypogastruridae","A","totale","sans","1","Poduromorpha Hypogastruridae"
"ACTSEA1","col059",20,"mai",3,"Entomobryomorpha","Isotomidae","A","totale","sans","1","Entomobryomorpha Isotomidae"
"ACTSEA1","col394",11,"juillet",6,"Entomobryomorpha","Entomobryidae","A","totale","sans","1","Entomobryomorpha Entomobryidae"
"ACTSEA1","col392",11,"juillet",6,"Poduromorpha","Hypogastruridae","A","totale","sans","1","Poduromorpha Hypogastruridae"
"ACTSEA1","col398",11,"juillet",6,"Poduromorpha","Hypogastruridae","A","totale","sans","1","Poduromorpha Hypogastruridae"
"ACTSEA1","col479",14,"aout",6,"Entomobryomorpha","Isotomidae","A","totale","sans","1","Entomobryomorpha Isotomidae"
"ACTSEA1","col063",20,"mai",3,"Poduromorpha","Hypogastruridae","A","totale","sans","1","Poduromorpha Hypogastruridae"
"ACTSEA1","col465",14,"aout",3,"Entomobryomorpha","Entomobryidae","A","totale","sans","1","Entomobryomorpha Entomobryidae"
"ACTSEA2","col408",14,"aout",3,"Symphypleona","Sminthurididae","A","totale","sans","2","Symphypleona Sminthurididae"
"ACTSEA3","col366",11,"juillet",3,"Entomobryomorpha","Isotomidae","A","totale","sans","3","Entomobryomorpha Isotomidae"
"ACTSEA3","col364",11,"juillet",3,"Entomobryomorpha","Entomobryidae","A","totale","sans","3","Entomobryomorpha Entomobryidae"
"ACTSEA3","col365",11,"juillet",3,"Entomobryomorpha","Isotomidae","A","totale","sans","3","Entomobryomorpha Isotomidae"
"AT1","col072",20,"mai",3,"Entomobryomorpha","Entomobryidae","A","temoin","sans","temoin","Entomobryomorpha Entomobryidae"
"AT1","col075",20,"mai",3,"Entomobryomorpha","Isotomidae","A","temoin","sans","temoin","Entomobryomorpha Isotomidae"
"AT1","col152",16,"juin",6,"Entomobryomorpha","Entomobryidae","A","temoin","sans","temoin","Entomobryomorpha Entomobryidae"
"AT1","col074",20,"mai",3,"Entomobryomorpha","Isotomidae","A","temoin","sans","temoin","Entomobryomorpha Isotomidae"
"AT1","col073",20,"mai",3,"Entomobryomorpha","Entomobryidae","A","temoin","sans","temoin","Entomobryomorpha Entomobryidae"
"AT2","col079",20,"mai",3,"Poduromorpha","Hypogastruridae","A","temoin","sans","temoin","Poduromorpha Hypogastruridae"
"AT2","col017",20,"mai",3,"Entomobryomorpha","Isotomidae","A","temoin","sans","temoin","Entomobryomorpha Isotomidae"
"AT2","col016",20,"mai",3,"Entomobryomorpha","Entomobryidae","A","temoin","sans","temoin","Entomobryomorpha Entomobryidae"
"AT2","col078",20,"mai",3,"Entomobryomorpha","Entomobryidae","A","temoin","sans","temoin","Entomobryomorpha Entomobryidae"
"AT2","col029",20,"mai",3,"Symphypleona","Katiannidae","A","temoin","sans","temoin","Symphypleona Katiannidae"
"AT2","col080",20,"mai",3,"Symphypleona","Sminthurididae","A","temoin","sans","temoin","Symphypleona Sminthurididae"
"AT2","col015",20,"mai",3,"Entomobryomorpha","Entomobryidae","A","temoin","sans","temoin","Entomobryomorpha Entomobryidae"
"AT2","col427",14,"aout",3,"Poduromorpha","Onychiuridae","A","temoin","sans","temoin","Poduromorpha Onychiuridae"
